action_0,target_dof_pos_0,action_1,target_dof_pos_1,action_2,target_dof_pos_2,action_3,target_dof_pos_3,action_4,target_dof_pos_4,action_5,target_dof_pos_5,action_6,target_dof_pos_6,action_7,target_dof_pos_7,action_8,target_dof_pos_8,action_9,target_dof_pos_9,action_10,target_dof_pos_10,action_11,target_dof_pos_11,action_12,target_dof_pos_12,action_13,target_dof_pos_13,action_14,target_dof_pos_14,action_15,target_dof_pos_15,action_16,target_dof_pos_16,action_17,target_dof_pos_17,action_18,target_dof_pos_18,action_19,target_dof_pos_19,action_20,target_dof_pos_20,action_21,target_dof_pos_21,action_22,target_dof_pos_22,action_23,target_dof_pos_23,action_24,target_dof_pos_24,action_25,target_dof_pos_25,action_26,target_dof_pos_26,action_27,target_dof_pos_27,action_28,target_dof_pos_28
0.9418344497680664,0.2354586124420166,1.0440198183059692,0.2610049545764923,-0.5423747897148132,-0.1355936974287033,1.9791884422302246,0.49479711055755615,2.281348705291748,0.570337176322937,0.9259196519851685,0.23147991299629211,-0.5900384783744812,-0.1475096195936203,-0.13848504424095154,-0.034621261060237885,-0.22821007668972015,-0.05705251917243004,2.2409603595733643,0.5602400898933411,-1.9236600399017334,-0.48091500997543335,-0.16442975401878357,-0.04110743850469589,0.40699443221092224,0.10174860805273056,0.2348499298095703,0.05871248245239258,-1.4316219091415405,-0.35790547728538513,-1.0736135244369507,-0.26840338110923767,-8.133362770080566,-2.0333406925201416,-0.029710695147514343,-0.007427673786878586,-3.232043743133545,-0.8080109357833862,1.668655514717102,0.4171638786792755,-6.239291191101074,-1.5598227977752686,-4.811859607696533,-1.2029649019241333,0.7721111178398132,0.1930277794599533,8.69372272491455,2.1734306812286377,1.3726760149002075,0.3431690037250519,-2.765048027038574,-0.6912620067596436,-1.5949466228485107,-0.3987366557121277,-4.451042652130127,-1.1127606630325317,5.565425395965576,1.391356348991394
0.4948744773864746,0.12371861934661865,1.0062605142593384,0.2515651285648346,-0.47194844484329224,-0.11798711121082306,1.8918938636779785,0.47297346591949463,1.9681564569473267,0.49203911423683167,1.7835639715194702,0.44589099287986755,-1.134572148323059,-0.28364303708076477,-0.03108423948287964,-0.00777105987071991,-0.1673165261745453,-0.04182913154363632,2.6274006366729736,0.6568501591682434,-1.728416085243225,-0.4321040213108063,-0.6852627992630005,-0.17131569981575012,0.4137072265148163,0.10342680662870407,0.0895124301314354,0.02237810753285885,-0.870415985584259,-0.21760399639606476,-0.8402869701385498,-0.21007174253463745,-8.567872047424316,-2.141968011856079,-2.719463348388672,-0.679865837097168,-1.8378355503082275,-0.4594588875770569,-0.6166110634803772,-0.1541527658700943,-8.100951194763184,-2.025237798690796,-4.007099628448486,-1.0017749071121216,-1.7852699756622314,-0.44631749391555786,9.413801193237305,2.353450298309326,2.0045371055603027,0.5011342763900757,-1.1379112005233765,-0.2844778001308441,-0.42954039573669434,-0.10738509893417358,-5.467846393585205,-1.3669615983963013,4.769421100616455,1.1923552751541138
1.178914189338684,0.294728547334671,1.0368030071258545,0.2592007517814636,-0.6963671445846558,-0.17409178614616394,2.087261199951172,0.521815299987793,3.0540897846221924,0.7635224461555481,2.1907057762145996,0.5476764440536499,-1.7571920156478882,-0.43929800391197205,0.25781524181365967,0.06445381045341492,-0.2885654866695404,-0.0721413716673851,2.4038188457489014,0.6009547114372253,-2.3048489093780518,-0.5762122273445129,-1.2705917358398438,-0.31764793395996094,0.10316472500562668,0.02579118125140667,-0.24242383241653442,-0.060605958104133606,-1.0113474130630493,-0.25283685326576233,-0.32959020137786865,-0.08239755034446716,-8.309433937072754,-2.0773584842681885,-1.0082000494003296,-0.2520500123500824,0.07835054397583008,0.01958763599395752,0.6942002773284912,0.1735500693321228,-5.230789661407471,-1.3076974153518677,-4.5381855964660645,-1.1345463991165161,-0.7850241661071777,-0.19625604152679443,8.095773696899414,2.0239434242248535,0.6741226315498352,0.1685306578874588,-0.38315528631210327,-0.09578882157802582,0.25226134061813354,0.06306533515453339,-1.6370128393173218,-0.40925320982933044,4.461879730224609,1.1154699325561523
-0.00865030288696289,-0.0021625757217407227,0.37785136699676514,0.09446284174919128,-0.3409804701805115,-0.08524511754512787,2.8139567375183105,0.7034891843795776,4.041703224182129,1.0104258060455322,2.4390783309936523,0.6097695827484131,-2.031792640686035,-0.5079481601715088,-0.02977558970451355,-0.0074438974261283875,-0.021894684061408043,-0.005473671015352011,2.0663225650787354,0.5165806412696838,-2.052248001098633,-0.5130620002746582,-1.18303644657135,-0.2957591116428375,-0.1021515354514122,-0.02553788386285305,0.05350782722234726,0.013376956805586815,-0.6955699920654297,-0.17389249801635742,-0.9690595865249634,-0.24226489663124084,-9.251627922058105,-2.3129069805145264,-1.7621804475784302,-0.44054511189460754,0.3993885815143585,0.09984714537858963,-0.9925650358200073,-0.24814125895500183,-1.058027982711792,-0.264506995677948,-3.5353143215179443,-0.8838285803794861,-0.3451123833656311,-0.08627809584140778,8.628256797790527,2.157064199447632,0.7908660173416138,0.19771650433540344,0.24005965888500214,0.060014914721250534,0.7377540469169617,0.18443851172924042,-3.3326308727264404,-0.8331577181816101,3.7041561603546143,0.9260390400886536
-0.4792433977127075,-0.11981084942817688,0.0886516124010086,0.02216290310025215,-0.042025089263916016,-0.010506272315979004,3.559493064880371,0.8898732662200928,3.3167927265167236,0.8291981816291809,1.3026978969573975,0.32567447423934937,-1.9363735914230347,-0.48409339785575867,0.2730591893196106,0.06826479732990265,-0.2870117127895355,-0.07175292819738388,1.3848319053649902,0.34620797634124756,-2.0144340991973877,-0.5036085247993469,-0.4763200879096985,-0.11908002197742462,0.39082154631614685,0.09770538657903671,0.28123655915260315,0.07030913978815079,-0.42748647928237915,-0.10687161982059479,0.15602871775627136,0.03900717943906784,-9.003204345703125,-2.2508010864257812,-1.2736989259719849,-0.3184247314929962,0.5896398425102234,0.14740996062755585,0.05474573373794556,0.01368643343448639,-3.6566202640533447,-0.9141550660133362,-4.159260272979736,-1.039815068244934,-0.5790421962738037,-0.14476054906845093,9.362338066101074,2.3405845165252686,0.5460493564605713,0.13651233911514282,-0.08931417763233185,-0.022328544408082962,0.6288689374923706,0.15721723437309265,-1.6066386699676514,-0.40165966749191284,4.716741561889648,1.179185390472412
-1.5417883396148682,-0.38544708490371704,-0.008842790499329567,-0.0022106976248323917,0.04401816427707672,0.01100454106926918,3.2963647842407227,0.8240911960601807,-2.800997734069824,-0.700249433517456,-1.095423698425293,-0.27385592460632324,-1.2851136922836304,-0.3212784230709076,-0.6754442453384399,-0.16886106133460999,0.40027502179145813,0.10006875544786453,0.692588210105896,0.173147052526474,0.6819036602973938,0.17047591507434845,0.6624442934989929,0.16561107337474823,0.1132645383477211,0.028316134586930275,-0.7160762548446655,-0.17901906371116638,-0.2217712253332138,-0.05544280633330345,0.7017844915390015,0.17544612288475037,-9.061552047729492,-2.265388011932373,-1.1314260959625244,-0.2828565239906311,1.0680586099624634,0.26701465249061584,-1.409897804260254,-0.3524744510650635,-1.1809521913528442,-0.29523804783821106,-3.902829885482788,-0.975707471370697,-0.794429361820221,-0.19860734045505524,9.285371780395508,2.321342945098877,0.658086359500885,0.16452158987522125,0.6195050477981567,0.15487626194953918,0.6302769780158997,0.15756924450397491,-2.0951170921325684,-0.5237792730331421,3.54215931892395,0.8855398297309875
-1.8860005140304565,-0.47150012850761414,-0.06839467585086823,-0.017098668962717056,-0.025028914213180542,-0.0062572285532951355,3.3847975730895996,0.8461993932723999,-2.6755664348602295,-0.6688916087150574,-0.2360197901725769,-0.059004947543144226,-0.982630729675293,-0.24565768241882324,-0.8754819631576538,-0.21887049078941345,0.43028751015663147,0.10757187753915787,1.4828487634658813,0.37071219086647034,0.10144510865211487,0.025361277163028717,-1.0339024066925049,-0.2584756016731262,-0.1573842167854309,-0.03934605419635773,0.03552592545747757,0.008881481364369392,-0.5508203506469727,-0.13770508766174316,-0.8100054860115051,-0.20250137150287628,-7.720265865325928,-1.930066466331482,-0.7660576105117798,-0.19151440262794495,-0.5376675128936768,-0.1344168782234192,0.1228436678647995,0.030710916966199875,-2.148376226425171,-0.5370940566062927,-3.80100679397583,-0.9502516984939575,0.27666226029396057,0.06916556507349014,9.674789428710938,2.4186973571777344,0.05732205510139465,0.014330513775348663,0.3650609254837036,0.0912652313709259,0.5529295802116394,0.13823239505290985,-0.48945432901382446,-0.12236358225345612,4.551158905029297,1.1377897262573242
-2.4964599609375,-0.624114990234375,-0.08371081203222275,-0.020927703008055687,0.25817131996154785,0.06454282999038696,3.5417284965515137,0.8854321241378784,-1.6568353176116943,-0.4142088294029236,-0.11142940074205399,-0.027857350185513496,-1.0916951894760132,-0.2729237973690033,-0.6055657863616943,-0.15139144659042358,-0.016279419884085655,-0.004069854971021414,1.6625101566314697,0.41562753915786743,0.23906779289245605,0.059766948223114014,0.37774768471717834,0.09443692117929459,0.042208947241306305,0.010552236810326576,-1.0181654691696167,-0.2545413672924042,-0.16850923001766205,-0.04212730750441551,-0.2549450695514679,-0.06373626738786697,-8.01450252532959,-2.0036256313323975,-1.6816965341567993,-0.42042413353919983,1.4144067764282227,0.35360169410705566,-0.9015028476715088,-0.2253757119178772,-1.1194285154342651,-0.2798571288585663,-3.753965139389038,-0.9384912848472595,-0.8792268633842468,-0.2198067158460617,9.637585639953613,2.4093964099884033,1.0608326196670532,0.2652081549167633,-0.48565608263015747,-0.12141402065753937,1.100253701210022,0.2750634253025055,-2.8932173252105713,-0.7233043313026428,2.7218971252441406,0.6804742813110352
-1.9224159717559814,-0.48060399293899536,-0.06999377906322479,-0.017498444765806198,-0.06848382204771042,-0.017120955511927605,3.5172014236450195,0.8793003559112549,-1.4456069469451904,-0.3614017367362976,-0.16143471002578735,-0.04035867750644684,-1.2666772603988647,-0.3166693150997162,-0.8321746587753296,-0.2080436646938324,0.1781194657087326,0.04452986642718315,1.9703547954559326,0.49258869886398315,1.0240159034729004,0.2560039758682251,0.6208735704421997,0.15521839261054993,0.09932353347539902,0.024830883368849754,-0.01857159286737442,-0.004642898216843605,-0.48299670219421387,-0.12074917554855347,-0.9617020487785339,-0.24042551219463348,-7.625694274902344,-1.906423568725586,-0.768670916557312,-0.192167729139328,-1.5504109859466553,-0.3876027464866638,0.32991111278533936,0.08247777819633484,-2.7310702800750732,-0.6827675700187683,-4.656918048858643,-1.1642295122146606,0.7239993214607239,0.18099983036518097,9.837230682373047,2.4593076705932617,0.44283267855644226,0.11070816963911057,1.2850526571273804,0.3212631642818451,0.16540145874023438,0.041350364685058594,-1.075987696647644,-0.268996924161911,3.9598333835601807,0.9899583458900452
-2.13280987739563,-0.5332024693489075,-0.07772384583950043,-0.019430961459875107,0.18229936063289642,0.045574840158224106,3.501882553100586,0.8754706382751465,-1.0869033336639404,-0.2717258334159851,-0.15753915905952454,-0.039384789764881134,-1.3260740041732788,-0.3315185010433197,-0.2381788045167923,-0.059544701129198074,-0.13842356204986572,-0.03460589051246643,2.4368276596069336,0.6092069149017334,2.324580192565918,0.5811450481414795,0.8542596101760864,0.2135649025440216,-0.22378122806549072,-0.05594530701637268,-0.8890219926834106,-0.22225549817085266,-0.33246755599975586,-0.08311688899993896,0.31478649377822876,0.07869662344455719,-8.516526222229004,-2.129131555557251,-0.9080806970596313,-0.22702017426490784,1.9020583629608154,0.47551459074020386,-0.39320486783981323,-0.09830121695995331,-1.6504786014556885,-0.4126196503639221,-4.57643461227417,-1.1441086530685425,-0.10760468244552612,-0.02690117061138153,10.356963157653809,2.589240789413452,0.042904436588287354,0.010726109147071838,-0.6519328951835632,-0.1629832237958908,1.1939674615859985,0.29849186539649963,-1.8270635604858398,-0.45676589012145996,3.6608688831329346,0.9152172207832336
