obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,obs_83,obs_84,obs_85,obs_86,obs_87,obs_88,obs_89,obs_90,obs_91,obs_92,obs_93,obs_94,obs_95,obs_96,obs_97,obs_98,obs_99,obs_100,obs_101,obs_102,obs_103,obs_104,obs_105,obs_106,obs_107,obs_108,obs_109
-0.0004363322805147618,0.00261799362488091,0.001308996812440455,-0.013156013563275337,-0.0069182319566607475,-0.9998897314071655,-0.08773006498813629,0.009255018085241318,-0.007593204732984304,0.35185256600379944,-0.24024026095867157,-0.009839831851422787,-0.11041593551635742,-0.024535169824957848,0.008088705129921436,0.3407738208770752,-0.2239956557750702,-0.0048605091869831085,0.002156095113605261,-0.024810869246721268,0.0309256911277771,0.07123423367738724,0.06466048955917358,0.09451958537101746,0.0926859974861145,-0.19609788060188293,0.07655331492424011,0.007562525570392609,0.07407449930906296,-0.06734495609998703,-0.08526775985956192,0.09357283264398575,0.1920352280139923,0.07918409258127213,-9.970875544240698e-05,0.0,-0.00038179077091626823,0.0,0.0010908307740464807,-0.000729678082279861,-0.0006014177924953401,0.0012856218963861465,-0.00021816615480929613,0.0002571243967395276,0.00010908307740464807,-0.002795374719426036,-0.0032471981830894947,0.00017141624994110316,-0.0001444038061890751,2.8236749130883254e-05,-0.00015339808305725455,7.669904152862728e-05,0.0,-7.669904152862728e-05,7.669904152862728e-05,-0.0002454369387123734,4.9087382649304345e-05,7.669904152862728e-05,-7.669904152862728e-05,0.00015339808305725455,-0.00015339808305725455,-0.00046019424917176366,0.00019634953059721738,-0.00019634953059721738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.04537855461239815,-0.15140730142593384,0.027925265952944756,-0.016392376273870468,-0.006119726691395044,-0.9998470544815063,-0.06438799202442169,0.017913484945893288,-0.009052921086549759,0.3357628285884857,-0.22595682740211487,-0.01197345182299614,-0.08718099445104599,-0.027236681431531906,0.011691125109791756,0.3128809332847595,-0.20117777585983276,-0.00788908265531063,0.00026783792418427765,-0.0021333005279302597,0.02613719552755356,0.06584133207798004,0.07060466706752777,0.09129583090543747,0.08434497565031052,-0.19564247131347656,0.06911350786685944,0.008475244045257568,0.06369615346193314,-0.07133570313453674,-0.09012137353420258,0.08370981365442276,0.19344936311244965,0.07755040377378464,-0.003658544272184372,0.06325260549783707,0.02465277537703514,0.008656521327793598,-0.07357653230428696,0.041592083871364594,-0.009289158508181572,0.08785083889961243,0.0034361169673502445,-0.005228196270763874,-0.1342267245054245,0.05932475998997688,-0.03461013361811638,-0.011656305752694607,0.0408785417675972,0.018641270697116852,-0.0029912625905126333,0.019404856488108635,-0.011121361516416073,-0.01242524478584528,0.0008436894277110696,-0.0007853981223888695,0.0007363107870332897,-0.020862137898802757,-0.002454369328916073,-0.0037582528311759233,-0.0175640806555748,0.0023009711876511574,0.00019634953059721738,-0.005743223708122969,0.024753034114837646,0.19461402297019958,-0.015576750971376896,0.7646993398666382,0.6566936373710632,-0.1821790486574173,-0.13524769246578217,-0.16041353344917297,0.10091881453990936,0.5353552103042603,0.5117040276527405,-0.34891995787620544,-0.056852787733078,0.5250020027160645,-0.6124941110610962,-1.0528576374053955,0.7234320044517517,0.35703226923942566,-0.8651964664459229,-0.7709127068519592,-0.8952120542526245,-0.07117339968681335,-1.1861151456832886,-0.7719367742538452,-0.6757063269615173,-0.9343143701553345,0.8630316853523254,-1.0749437808990479,-0.10392424464225769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01047197449952364,0.10864673554897308,-0.08770278841257095,-0.018480708822607994,-0.0014803139492869377,-0.9998281598091125,-0.05020597577095032,0.02033376879990101,-0.00839671865105629,0.2795509397983551,-0.19747193157672882,-0.01119390781968832,-0.062245287001132965,-0.019788352772593498,0.011302759870886803,0.23985493183135986,-0.1586596518754959,-0.005184028297662735,-0.002089135814458132,-0.011154728010296822,0.01557027455419302,0.06570950895547867,0.0806594267487526,0.08649015426635742,0.06203034892678261,-0.1992017924785614,0.06630632281303406,0.005898156203329563,0.050465572625398636,-0.07780718058347702,-0.09076852351427078,0.0613832026720047,0.19402460753917694,0.07096962630748749,-0.011144370771944523,0.010027851909399033,0.007908523082733154,0.0023998278193175793,-0.13864459097385406,0.06406444311141968,0.0029620861168950796,8.570812497055158e-05,0.007090400438755751,0.004456823226064444,-0.1201004758477211,0.07952340692281723,0.009316074661910534,0.007542315870523453,-0.017773224040865898,-0.04620559141039848,-0.001764077926054597,0.017103886231780052,-0.00046019424917176366,-0.06864564120769501,-0.016873789951205254,-0.0283725094050169,-0.00829576887190342,-0.04448544606566429,-0.021322332322597504,0.0029145635198801756,-0.05345923453569412,-0.0009203884983435273,-0.029501518234610558,-0.02287472039461136,-0.17695342004299164,0.1761733889579773,-0.025687426328659058,0.7558274865150452,0.5550721883773804,-0.11195240169763565,-0.21136769652366638,-0.0354151614010334,0.026055995374917984,0.794602632522583,0.4883618950843811,-0.23147445917129517,-0.07111553847789764,-0.0448954701423645,-0.4366808831691742,-0.8284754157066345,0.5667473077774048,0.39040008187294006,-0.8296668529510498,-0.8856042623519897,-0.823616087436676,-0.08932100236415863,-0.9737218022346497,-0.6784608364105225,-0.5213747024536133,-0.8077404499053955,0.8155576586723328,-1.074846863746643,-0.17283572256565094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.011344638653099537,0.20551249384880066,-0.024870937690138817,0.0028511646669358015,-0.001899402355775237,-0.9999940991401672,-0.04734010994434357,0.012007661163806915,-0.0002946217136923224,0.23425590991973877,-0.16934293508529663,-0.011996272020041943,-0.06012937054038048,-0.023972710594534874,0.013673125766217709,0.19864198565483093,-0.13252560794353485,-0.011782561428844929,-0.0011249192757532,0.014503691345453262,0.010935124009847641,0.05014199763536453,0.09019887447357178,0.09051685035228729,0.038900796324014664,-0.20140689611434937,0.04052777588367462,0.0020785441156476736,0.023069633170962334,-0.08266079425811768,-0.0963292047381401,0.042939480394124985,0.1943122297525406,0.03674651309847832,-0.013683109544217587,0.004628239199519157,-0.011835514567792416,0.013456176035106182,-0.077776238322258,0.05716509371995926,-0.008627464063465595,0.009685019962489605,-0.009381144307553768,-0.002228411613032222,-0.07935793697834015,0.055080901831388474,-0.016910335049033165,-0.009170769713819027,0.009486028924584389,-0.0027861311100423336,-0.06204951927065849,0.02040194533765316,0.012578642927110195,-0.05146506056189537,-0.0033747577108442783,-0.06818237900733948,-0.010946487076580524,-0.07033302634954453,-0.010814565233886242,-0.026921361684799194,-0.05391942337155342,0.0007669904152862728,-0.1012672707438469,0.0009817477548494935,-0.17123840749263763,-0.04209534823894501,0.029640305787324905,0.745315670967102,0.40926700830459595,-0.15471002459526062,0.1239863857626915,-0.17513996362686157,0.05801459029316902,0.8034422397613525,0.337058424949646,-0.2960543632507324,-0.051065798848867416,0.43496060371398926,-0.3437957465648651,-0.7517377734184265,0.5106102824211121,0.44545695185661316,-0.6380003690719604,-0.8310755491256714,-0.7146975994110107,-0.10720421373844147,-0.6494626402854919,-0.6172837615013123,-0.5842552781105042,-0.556239902973175,0.848501443862915,-0.9009853601455688,-0.03831499442458153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06326817721128464,0.04668755084276199,0.00523598724976182,0.01241976860910654,-0.004358162172138691,-0.999913215637207,-0.039412107318639755,0.017069796100258827,-0.0031872710678726435,0.2060391902923584,-0.14490799605846405,-0.009212824515998363,-0.05528150126338005,-0.02340172976255417,0.008945786394178867,0.17111556231975555,-0.10855972766876221,-0.0008369694696739316,-0.00046871634549461305,-0.006831432227045298,0.005514830816537142,0.01563941314816475,0.09255976229906082,0.0972040519118309,0.02166747860610485,-0.2018263339996338,0.019059712067246437,-0.00035281560849398375,-0.0023728765081614256,-0.08812560141086578,-0.10043979436159134,0.015112107619643211,0.19427627325057983,0.00524621456861496,-0.007784952875226736,0.021169908344745636,0.004199698567390442,-0.0026569522451609373,-0.056668657809495926,0.04185977950692177,5.0846785597968847e-05,0.02348402701318264,0.00845393817871809,-0.010970639996230602,-0.04297873005270958,0.044606368988752365,0.009252296760678291,0.001114205806516111,-0.023786524310708046,-0.019289501011371613,-0.08605632185935974,-0.007823302410542965,0.02093883790075779,-0.042567964643239975,-0.001073786523193121,-0.042755112051963806,-0.007755807135254145,-0.06849224120378494,-0.022242723032832146,-0.019174760207533836,-0.07669904083013535,0.0006135923322290182,-0.03966260701417923,0.004123340360820293,0.11992122232913971,0.2299162745475769,-0.045492708683013916,0.8665305972099304,0.7631877660751343,-0.031068451702594757,0.37220120429992676,0.10190914571285248,-0.02151523157954216,0.8562633991241455,0.8441381454467773,-0.06819525361061096,0.007935073226690292,-0.3060208261013031,-0.5843700170516968,-0.4951417148113251,0.44776755571365356,0.46525031328201294,-0.4413157105445862,-0.8228441476821899,-0.4671790897846222,-0.0501725897192955,-0.3362860083580017,-0.5050719976425171,-0.37883880734443665,-0.4491897523403168,0.8199930787086487,-0.4001302421092987,0.12367713451385498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.016580626368522644,0.08770278841257095,0.05585053190588951,0.016291223466396332,-0.004228267818689346,-0.9998586773872375,-0.03768455237150192,0.0075420718640089035,-0.0011383111122995615,0.1842566579580307,-0.12964867055416107,-0.008377080783247948,-0.052870962768793106,-0.024339161813259125,0.006106704473495483,0.14715136587619781,-0.09048163145780563,-0.00021423793805297464,0.002758730435743928,0.018167492002248764,0.003265558974817395,-0.005680522881448269,0.0954120084643364,0.10085923969745636,0.005620601586997509,-0.20243753492832184,0.003926991019397974,-0.001825437182560563,-0.016574183478951454,-0.09584344178438187,-0.10452641546726227,0.001761681167408824,0.19335348904132843,-0.003175340360030532,-0.0075011663138866425,0.015513171441853046,-0.0035452002193778753,-0.006256693508476019,-0.03856086730957031,0.03452552482485771,-0.002862014574930072,0.015856005251407623,-0.0027816183865070343,-0.003085492877289653,-0.061795562505722046,0.040034353733062744,0.000596733414568007,0.005228196270763874,0.0028406421188265085,-0.030822843313217163,-0.044255346059799194,0.009357282891869545,0.008360194973647594,-0.03965340182185173,-0.0019174760673195124,-0.03519565612077713,-0.0029452431481331587,-0.04042039439082146,-0.01672038994729519,0.002454369328916073,-0.017947575077414513,-0.00276116537861526,-0.010602875612676144,0.0012762719998136163,0.04394100606441498,-0.08703629672527313,0.0450449138879776,0.7805403470993042,0.7173052430152893,-0.027986638247966766,0.24552088975906372,-0.0038243569433689117,0.0017897672951221466,0.6823444366455078,1.0050804615020752,-0.03959090635180473,0.04622756317257881,0.3327312171459198,-0.4251965582370758,-0.13374869525432587,0.5008470416069031,0.43887102603912354,-0.3246456980705261,-0.8196154236793518,-0.2922004759311676,-0.07432196289300919,-0.10482717305421829,-0.47646045684814453,-0.4006330966949463,-0.17495869100093842,0.7817404270172119,-0.07063505798578262,-0.020830489695072174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025307271629571915,0.05585053190588951,-0.048432882875204086,0.019300976768136024,-0.004129661247134209,-0.9998052716255188,-0.03298399597406387,0.012740561738610268,-0.0009374326909892261,0.165593221783638,-0.12080694735050201,-0.008214681409299374,-0.04889356717467308,-0.02225976437330246,0.0049817850813269615,0.1285816729068756,-0.08269300311803818,0.0002620366576593369,-0.004057744517922401,-0.028263332322239876,-0.003788119414821267,-0.021152157336473465,0.09714972227811813,0.10217750072479248,-0.003798999357968569,-0.20292888581752777,-0.0028301947750151157,-0.0021859228145331144,-0.025849973782896996,-0.09976229071617126,-0.10254901647567749,-0.01185239851474762,0.19337746500968933,-0.006135923322290182,-0.004494564142078161,0.014570382423698902,0.01587158814072609,0.005399612244218588,-0.044396813958883286,0.016554664820432663,0.0010260259732604027,0.0026569522451609373,0.00894481223076582,0.0023998278193175793,-0.03621558099985123,0.010992500931024551,-0.0033268872648477554,-0.0003428324998822063,-0.07962652295827866,-0.03380512818694115,-0.031446605920791626,0.00398835027590394,0.0038349521346390247,-0.025080585852265358,-0.001073786523193121,-0.010750138200819492,-4.9087382649304345e-05,-0.010814565233886242,-0.007439807057380676,0.003528155852109194,-0.042567964643239975,0.0005368932615965605,-0.0030434178188443184,0.0074121952056884766,0.13330568373203278,0.10271378606557846,0.016531240195035934,0.738910436630249,0.6675411462783813,0.030408211052417755,0.15139535069465637,0.2190474569797516,-0.05797520652413368,0.7162765264511108,0.9154048562049866,0.06938505172729492,-0.024342816323041916,-0.36083802580833435,-0.3806658089160919,-0.04611153528094292,0.425265371799469,0.4170469641685486,-0.15889562666416168,-0.8156026601791382,-0.07905794680118561,-0.03523935005068779,-0.015795566141605377,-0.4135308861732483,-0.33533912897109985,-0.2184610813856125,0.7791047096252441,-0.04216039925813675,0.07302537560462952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06195918098092079,-0.06894049793481827,0.04363322630524635,0.02204604633152485,-0.003559089731425047,-0.999750554561615,-0.025966642424464226,0.008718123659491539,-0.003562244353815913,0.15538373589515686,-0.11596830934286118,-0.012726088985800743,-0.037711337208747864,-0.026256637647747993,0.006454893853515387,0.11261123418807983,-0.07233382761478424,-0.0036257386673241854,0.005865650251507759,0.03820425644516945,-0.021366797387599945,-0.02713228575885296,0.10374104976654053,0.10626412183046341,-0.013410348445177078,-0.20283301174640656,-0.011274759657680988,-0.004686311352998018,-0.028905950486660004,-0.10472375154495239,-0.10453839600086212,-0.00906007457524538,0.19342540204524994,-0.007133011240512133,-0.004034369718283415,0.03351188078522682,-0.014944382011890411,-0.007456607650965452,-0.009435686282813549,0.007345328573137522,-0.008669081144034863,0.0372830405831337,-0.0063813598826527596,-0.00574244512245059,-0.03648829087615013,0.026775766164064407,-0.005680842325091362,-0.010199268348515034,0.13642136752605438,-0.019915074110031128,-0.006749515421688557,0.03298058733344078,0.010354370810091496,-0.017180584371089935,-0.000997087568975985,-0.019831303507089615,-0.004123340360820293,-0.004141747951507568,-0.0003067961661145091,-0.0003834952076431364,0.016950488090515137,-0.00015339808305725455,-0.009473864920437336,-0.0018653207225725055,-0.004436865448951721,-0.23148077726364136,0.0312870517373085,0.7359663248062134,0.8868633508682251,-0.21394142508506775,0.2369869351387024,-0.16960319876670837,0.019057337194681168,0.572669267654419,0.8679783940315247,-0.2624742388725281,0.08459606766700745,0.8159393668174744,-0.3161851763725281,-0.016922440379858017,0.5489060282707214,0.4730430543422699,-0.22128766775131226,-0.7887970209121704,-0.1640568971633911,-0.10058777034282684,0.009697772562503815,-0.47769060730934143,-0.4682491421699524,0.029962381348013878,0.8144729733467102,0.0012813229113817215,-0.03253059834241867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05977752059698105,0.18718655407428741,-0.0719948261976242,0.01754998415708542,-0.003134648548439145,-0.999841034412384,-0.025805940851569176,0.02099849097430706,-0.00046871634549461305,0.1468786597251892,-0.11752821505069733,-0.008748844265937805,-0.03878268599510193,-0.0185270793735981,0.005584420636296272,0.10590432584285736,-0.0769510492682457,0.0009628054103814065,-0.008075312711298466,-0.07544241100549698,-0.01173742488026619,-0.024759409949183464,0.09952260553836823,0.10040383785963058,-0.01031841803342104,-0.20781844854354858,-0.006135923322290182,-0.003950000740587711,-0.02057691477239132,-0.10114046931266785,-0.09768342226743698,-0.019426429644227028,0.19222697615623474,-0.0050161173567175865,0.003950000740587711,0.030083555728197098,-0.004363323096185923,0.024512527510523796,-0.042760565876960754,0.004101741127669811,-0.00012455967953428626,0.025026774033904076,0.0029452431481331587,-0.007970856502652168,-0.005399612244218588,-0.04057283326983452,-0.0090330233797431,0.021684158593416214,0.0023139247205108404,-0.10969970375299454,0.006289321463555098,0.00398835027590394,-0.009817477315664291,0.005982525181025267,-0.012041749432682991,0.019978566095232964,0.002356194658204913,0.024083498865365982,0.02377670258283615,0.013499030843377113,-0.021935924887657166,-0.0033747577108442783,0.011388272978365421,0.017818722873926163,-0.019377321004867554,0.3534029722213745,-0.02886137366294861,0.5771830677986145,0.3233170509338379,0.13230448961257935,-0.05278690904378891,0.4953153133392334,-0.12848201394081116,0.65265953540802,0.3753349184989929,0.21035078167915344,-0.08082021027803421,-1.1528810262680054,-0.0850190669298172,0.0012998322490602732,0.278462678194046,0.3377799391746521,-0.001703605055809021,-0.9208806157112122,0.10021869838237762,0.009476341307163239,0.005187271162867546,-0.3781360983848572,-0.31019365787506104,-0.26537710428237915,0.7290437817573547,0.04245464503765106,0.11649550497531891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.11126472800970078,-0.41146132349967957,0.15402528643608093,0.015898380428552628,-0.002868391340598464,-0.9998698234558105,-0.0032138118986040354,0.00998791866004467,-0.0049817850813269615,0.1455492079257965,-0.11822233349084854,-0.017342310398817062,-0.011476611718535423,-0.026520822197198868,0.004888041876256466,0.10287898033857346,-0.07018575817346573,-0.009326622821390629,0.007164664100855589,0.051991429179906845,-0.031100118532776833,-0.02575409971177578,0.10677304863929749,0.10725881904363632,-0.012871057726442814,-0.20563732087612152,-0.013667769730091095,-0.008705341257154942,-0.015579492785036564,-0.10033752024173737,-0.10009224712848663,-0.010426276363432407,0.19392873346805573,-0.003244369523599744,0.0025770878419280052,0.036425959318876266,-0.008563022129237652,0.0013713299995288253,0.0359974168241024,-0.006361781153827906,-0.009272881783545017,0.04902505502104759,0.001636246219277382,0.010113559663295746,-0.012817262671887875,0.03940925747156143,-0.01617082767188549,-0.030597804114222527,0.2110522985458374,0.06811055541038513,-0.002531068166717887,0.015569904819130898,0.015186409465968609,0.012578642927110195,-0.0011504855938255787,-0.018309595063328743,-0.013989904895424843,0.005292234010994434,0.01449611783027649,0.0076699042692780495,0.02093883790075779,0.0022242721170186996,0.0006872233934700489,-0.0011780973291024566,-0.09677736461162567,-0.45661863684654236,0.05415116995573044,0.7547802329063416,0.7087286114692688,-0.3241754174232483,0.19051885604858398,-0.3135581314563751,0.052092794328927994,0.5134559273719788,0.9107995629310608,-0.3120006322860718,0.1434236466884613,1.4213528633117676,-0.08236320316791534,-0.087628073990345,0.629940390586853,0.49829569458961487,-0.27089935541152954,-0.7390000820159912,-0.2431301474571228,-0.1281520128250122,-0.03758776932954788,-0.5696753263473511,-0.6397127509117126,0.048014767467975616,0.8518206477165222,-0.002914438024163246,-0.15092507004737854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
